莧,苋
詳,详
綃,绡
鉉,铉
楥,楦
鞾,靴
勛,勋
勲,勋
塤,埙
壎,埙
馴,驯
詢,询
煙,烟
揚,扬
敭,扬
暘,旸
楊,杨
煬,炀
爺,爷
業,业
飴,饴
義,义
詣,诣
飲,饮
飮,饮
傭,佣
猶,犹
蕕,莸
鈾,铀
銪,铕
傴,伛
鉞,钺
惲,恽
暈,晕
鈺,钰
預,预
瘉,愈
癒,愈
園,园
圓,圆
載,载
賊,贼
摣,揸
樝,楂
閘,闸
債,债
盞,盏
醆,盏
琖,盏
炤,照
湞,浈
楨,桢
鉦,钲
輊,轾
滯,滞
穉,稚
稺,稚
誅,诛
煑,煮
莊,庄
裝,装
貲,赀
資,资
辠,罪
銨,铵
骯,肮
飽,饱
綳,绷
繃,绷
幣,币
賓,宾
駁,驳
滄,沧
詧,察
闔,阂
銚,铫
銅,铜
圖,图
趕,赶
綱,纲
皸,皲
綽,绰
緋,绯
頊,顼
愷,恺
綿,绵
緜,绵
滅,灭
閩,闽
鳴,鸣
萇,苌
嘗,尝
嚐,尝
瑒,玚
暢,畅
塵,尘
稱,称
誠,诚
鋮,铖
竾,篪
箎,篪
銃,铳
綢,绸
矁,瞅
愴,怆
獃,呆
誕,诞
搗,捣
擣,捣
櫈,凳
滌,涤
遞,递
墊,垫
銱,铞
銩,铥
腖,胨
覩,睹
對,对
奪,夺
爾,尔
鉺,铒
罰,罚
罸,罚
閥,阀
僨,偾
瘋,疯
碸,砜
鳳,凤
輔,辅
槀,槁
誥,诰
謌,歌
閣,阁
鉻,铬
溝,沟
構,构
苽,菰
皷,鼓
閨,闺
幗,帼
鉿,铪
華,华
琿,珲
誨,诲
夥,伙
禍,祸
旤,祸
郟,郏
監,监
箋,笺
椾,笺
牋,笺
戩,戬
奨,奖
奬,奖
獎,奖
僥,侥
儌,侥
餃,饺
鉸,铰
巀,截
誡,诫
緊,紧
儘,尽
榘,矩
愾,忾
銬,铐
褃,裉
匱,匮
壼,壸
辢,辣
萊,莱
濫,滥
銠,铑
榮,荣
鎔,熔
銣,铷
損,损
態,态
奩,奁
匳,奁
匲,奁
連,连
綾,绫
蓤,菱
領,领
綹,绺
嘍,喽
嶁,嵝
閭,闾
緑,绿
綸,纶
躶,裸
臝,裸
獁,犸
榪,杩
嘜,唛
麽,么
銘,铭
幙,幕
寍,宁
寧,宁
甯,宁
嘔,呕
裵,裴
裶,裴
羆,罴
闝,嫖
頗,颇
僕,仆
榿,桤
齊,齐
綥,綦
綺,绮
塹,堑
戧,戗
槍,枪
鎗,枪
搶,抢
熗,炝
僑,侨
誚,诮
寢,寝
輕,轻
賕,赇
巰,巯
嶇,岖
銓,铨
綣,绻
認,认
叡,睿
蒻,箬
颯,飒
銫,铯
傓,煽
緔,绱
鞝,绱
賒,赊
實,实
飾,饰
壽,寿
綬,绶
説,说
碩,硕
飼,饲
誦,诵
泝,溯
遡,溯
猻,狲
嘆,叹
歎,叹
逷,逖
團,团
籜,箨
綰,绾
網,网
維,维
偽,伪
僞,伪
瑋,玮
聞,闻
誣,诬
誤,误
誒,诶
嵠,溪
銑,铣
銜,衔
啣,衔
綫,线
簫,箫
攜,携
擕,携
鞵,鞋
厭,厌
釅,酽
瘍,疡
鋣,铘
禕,祎
銥,铱
銦,铟
銀,银
滎,荥
熒,荧
螢,萤
踴,踊
誘,诱
與,与
猨,猿
蝯,猿
殞,殒
語,语
嫗,妪
鳶,鸢
寃,冤
嘖,啧
幘,帻
嶄,崭
嶃,崭
綻,绽
脹,胀
趙,赵
肈,肇
這,这
禎,祯
賑,赈
拓,摭
種,种
銖,铢
墜,坠
綴,缀
凖,准
緇,缁
綜,综
糉,粽
葅,菹
錒,锕
皚,皑
罷,罢
鴇,鸨
緥,褓
鋇,钡
輩,辈
編,编
緶,缏
標,标
餅,饼
慚,惭
慘,惨
層,层
頜,颌
鋌,铤
摻,掺
賦,赋
醕,醇
輟,辍
賜,赐
樅,枞
範,范
魴,鲂
誹,诽
廢,废
銹,锈
鏽,锈
緬,缅
靣,面
緲,缈
廟,庙
緡,缗
嬋,婵
滻,浐
諂,谄
腸,肠
廠,厂
厰,厂
徹,彻
齒,齿
廚,厨
鋤,锄
鉏,锄
瘡,疮
銼,锉
彈,弹
惪,德
敵,敌
締,缔
蔕,蒂
調,调
蜨,蝶
蕫,董
阧,陡
緞,缎
墪,墩
墮,堕
隓,堕
鋨,锇
齶,腭
餌,饵
墳,坟
鋒,锋
膚,肤
襆,幞
駙,驸
稾,稿
鋯,锆
賡,赓
鞏,巩
緱,缑
廣,广
嬀,妫
媯,妫
潙,妫
瓌,瑰
劊,刽
劌,刿
摑,掴
葒,荭
餱,糇
滸,浒
滬,沪
嘩,哗
譁,哗
緩,缓
輝,辉
煇,辉
嘰,叽
緝,缉
賫,赍
擠,挤
鋏,铗
價,价
駕,驾
儉,俭
劍,剑
劒,剑
賤,贱
踐,践
漿,浆
殭,僵
槳,桨
嬌,娇
膠,胶
嶠,峤
節,节
頡,颉
進,进
靚,靓
鬮,阄
駒,驹
鋦,锔
劇,剧
忼,慷
頦,颏
課,课
緙,缂
錁,锞
摳,抠
咵,侉
儈,侩
寬,宽
欵,款
誑,诳
誆,诳
閫,阃
賚,赉
鋃,锒
閬,阆
嘮,唠
嶗,崂
樂,乐
鋭,锐
瑣,琐
駘,骀
談,谈
鋰,锂
厲,厉
漣,涟
練,练
諒,谅
輛,辆
劉,刘
癅,瘤
鋶,锍
樓,楼
摟,搂
魯,鲁
剹,戮
慮,虑
鋝,锊
輪,轮
論,论
腡,脶
瑪,玛
碼,码
禡,祃
勱,劢
賣,卖
滿,满
貓,猫
皃,貌
鬽,魅
腦,脑
匘,脑
鬧,闹
閙,闹
餒,馁
餧,馁
輦,辇
儂,侬
駑,驽
甌,欧
毆,殴
慪,怄
漚,沤
盤,盘
賠,赔
噴,喷
鋪,铺
舖,铺
憇,憩
愒,憩
慳,悭
槧,椠
嶔,嵚
鋟,锓
請,请
慶,庆
窮,穷
煢,茕
確,确
塙,确
碻,确
髥,髯
熱,热
顋,腮
毿,毵
儍,傻
陝,陕
殤,殇
賞,赏
審,审
諗,谂
滲,渗
勝,胜
蝕,蚀
駛,驶
樞,枢
數,数
潄,漱
誰,谁
噝,咝
緦,缌
駟,驷
誶,谇
賧,赕
鋱,铽
銻,锑
緹,缇
摶,抟
駝,驼
萬,万
輞,辋
緯,纬
葦,苇
諉,诿
衛,卫
衞,卫
嫵,妩
娬,妩
廡,庑
譆,嘻
蝦,虾
賢,贤
嫻,娴
嫺,娴
線,缐
緗,缃
餉,饷
餉,饷
饟,饷
嘵,哓
銷,销
蠍,蝎
冩,写
鋅,锌
陘,陉
緒,绪
萲,萱
蕿,萱
蘐,萱
鴉,鸦
養,养
様,样
葉,叶
靨,靥
儀,仪
頤,颐
億,亿
誼,谊
瑩,莹
穎,颍
憂,忧
郵,邮
魷,鱿
諛,谀
漁,渔
閲,阅
緼,缊
緣,缘
暫,暂
駔,驵
奘,葬
喿,噪
鋥,锃
麞,獐
漲,涨
賬,账
摺,折
輒,辄
輙,辄
陣,阵
鴆,鸩
諍,诤
幟,帜
質,质
觶,觯
腫,肿
葤,荮
皺,皱
囑,嘱
駐,驻
築,筑
筯,箸
縋,缒
諄,谆
諑,诼
輜,辎
漬,渍
蹤,踪
諏,诹
婳,嫿
噯,嗳
嬡,嫒
諳,谙
鮁,鲅
辦,办
鮑,鲍
憊,惫
錛,锛
蓽,荜
篳,筚
儐,傧
擯,傧
撥,拨
餑,饽
鮊,鲌
飱,餐
湌,餐
蒼,苍
艙,舱
儕,侪
頭,头
鮒,鲋
蓋,盖
鋼,钢
橜,橛
麕,麇
蒓,莼
蓴,莼
餈,糍
輳,辏
憫,悯
閶,阊
陳,陈
諶,谌
磣,碜
硶,碜
橕,撑
澂,澄
鴟,鸱
熾,炽
儔,俦
錘,锤
鎚,锤
鹺,鹾
齹,鹾
錯,错
達,达
殫,殚
撣,掸
憚,惮
導,导
鍀,锝
燈,灯
諦,谛
鵰,雕
諜,谍
錠,锭
篤,笃
賭,赌
憞,憝
噸,吨
燉,炖
遯,遁
餓,饿
諤,谔
咢,谔
閼,阏
蕚,萼
奮,奋
憤,愤
諷,讽
輻,辐
餻,糕
肐,骼
鴣,鸪
轂,毂
錮,锢
慣,惯
摜,掼
龜,龟
輥,辊
過,过
駭,骇
頷,颔
黌,黉
鱟,鲎
樺,桦
諱,讳
葷,荤
閽,阍
餛,馄
餫,馄
鍃,锪
機,机
輯,辑
劑,剂
頰,颊
縑,缣
澗,涧
諫,谏
澆,浇
撟,挢
潔,洁
絜,洁
錦,锦
縉,缙
頸,颈
舉,举
擧,举
鋸,锯
窶,窭
錈,锩
墾,垦
瞘,眍
褲,裤
噲,哙
窺,窥
闚,窥
憒,愦
潰,溃
錕,锟
錸,铼
賴,赖
頼,赖
襤,褴
蜋,螂
撈,捞
澇,涝
礧,擂
縭,缡
琍,璃
瓈,璃
縟,缛
簑,蓑
鮐,鲐
壇,坛
曇,昙
錟,锬
歷,历
歴,历
璉,琏
龍,龙
瘻,瘘
瘺,瘘
盧,卢
陸,陆
録,录
駱,骆
螞,蚂
駡,骂
罵,骂
傌,骂
瞞,瞒
蟎,螨
鍆,钔
燜,焖
錳,锰
夢,梦
嘿,默
謀,谋
撓,挠
鮎,鲇
鯰,鲇
聹,凝
噥,哝
諾,诺
甌,瓯
錇,锫
駢,骈
諞,谝
頻,频
凴,凭
憑,凭
鮃,鲆
撲,扑
磧,碛
錢,钱
潛,潜
錆,锖
橋,桥
顦,憔
癄,憔
親,亲
撳,揿
搇,揿
趨,趋
鴝,鸲
鸜,鸲
橈,桡
潤,润
穡,穑
澘,潸
饍,膳
燒,烧
輸,输
樹,树
螄,蛳
穌,稣
蓀,荪
鎕,糖
燙,烫
縧,绦
縚,绦
絛,绦
蹏,蹄
頹,颓
穨,颓
鴕,鸵
溈,沩
潙,沩
違,违
潿,涠
謂,谓
閿,阌
闅,阌
廡,怃
錫,锡
熺,熹
鬩,阋
鍁,锨
縣,县
寰,宪
暁,晓
嘨,啸
諧,谐
興,兴
諼,谖
璿,璇
壆,学
斈,学
謔,谑
潯,浔
鴨,鸭
閹,阉
閻,阎
閆,阎
諺,谚
燄,焰
鴦,鸯
窯,窑
窰,窑
曄,晔
燁,烨
爗,烨
謁,谒
嶧,峄
縊,缢
陰,阴
隂,阴
縈,萦
鎣,蓥
穎,颖
頴,颖
覦,觎
澐,沄
運,运
鄆,郓
醖,酝
諭,谕
閾,阈
鴛,鸳
戰,战
縝,缜
錚,铮
縐,绉
諸,诸
磚,砖
甎,砖
塼,砖
錐,锥
贅,赘
諮,谘
錙,锱
頾,髭
罇,樽
鎄,锿
曖,暧
幫,帮
謗,谤
蹕,跸
燦,灿
撡,操
餷,馇
鍤,锸
縛,缚
蓯,苁
蔥,葱
聰,聪
鵂,鸺
駿,骏
鍇,锴
謐,谧
禪,禅
鼂,鼌
齔,龀
檉,柽
瞪,瞠
騁,骋
幬,帱
醜,丑
黱,黛
擔,担
癉,瘅
擋,挡
攩,挡
檔,档
點,点
獨,独
鍍,镀
鍛,锻
隊,队
鍔,锷
鴯,鸸
鮞,鲕
縫,缝
鴿,鸽
購,购
鴰,鸹
館,馆
舘,馆
鮭,鲑
鍋,锅
蟈,蝈
韓,韩
鴻,鸿
鍰,锾
澣,浣
澮,浍
檜,桧
燴,烩
諢,诨
撃,击
璣,玑
磯,矶
績,绩
嚌,哜
覬,觊
艱,艰
韉,鞯
撿,捡
撿,检
餞,饯
鍵,键
講,讲
蔣,蒋
鮫,鲛
矯,矫
階,阶
堦,阶
鮚,鲒
璡,琎
據,据
颶,飓
穅,糠
粇,糠
